m1 m2 chi_1 chi_2 distance inclination ra dec psi phi_c tc
6.983770895963787950e+01 6.284406778666324556e+01 6.364255659340841698e-01 2.828098921426528967e-01 2.522287687364870692e+02 1.652076452519688265e+00 5.058241479182638223e+00 -1.015394458438968250e+00 1.495320524841477816e+00 1.477940862538268618e+00 3.986990342318306180e+00
7.165312037145559998e+01 6.130970696847296608e+01 6.289673359351954929e-01 2.635006849691148845e-01 2.328247708861206888e+02 1.583403410090521213e+00 5.198069516699834303e+00 -9.641165673483186316e-01 1.418820797759075436e+00 1.221527642718075235e+00 3.988331109121601603e+00
6.925324642962507937e+01 6.381419474970500971e+01 7.297231499421179546e-01 3.087288834659673853e-01 3.313866689677636828e+02 1.639532737633290660e+00 4.980285091918653428e+00 -9.702236433739174215e-01 1.476337767429018344e+00 1.174210708956952898e+00 3.986368382307690528e+00
6.949086022402130425e+01 6.343377961680224786e+01 5.303638447479533946e-01 3.615483920493052783e-01 2.403807567032295651e+02 1.617831716626791927e+00 5.291160174706003971e+00 -9.600826654136271898e-01 1.331787529295880512e+00 1.285508378905272142e+00 3.989179441362559420e+00
7.080473083927715550e+01 6.225785968558356132e+01 6.222538958873596870e-01 3.166410895624512389e-01 2.558990384743809443e+02 1.622367341984035427e+00 4.730304316306175316e+00 -9.909554587901652223e-01 1.804513230665586443e+00 1.229227922480865098e+00 3.984442778288229903e+00
7.164661796279425232e+01 6.126015802629023455e+01 5.057430119024062254e-01 3.902015277332414600e-01 2.726478075453852625e+02 1.658865923982767221e+00 5.325641972473550645e+00 -9.665221425743867334e-01 1.211626074478211468e+00 1.269814680659902884e+00 3.989619034479379600e+00
7.010902682650791462e+01 6.292013640133838237e+01 5.994909359998372711e-01 3.905631196416380346e-01 2.381529662208238278e+02 1.654048994535209927e+00 4.579383407999608302e+00 -9.815962903660762073e-01 1.974521270244222082e+00 1.283420672755621217e+00 3.983423354924353621e+00
7.171003406922000067e+01 6.135473959090166574e+01 4.993016552077923498e-01 3.962285305692995752e-01 1.974092632725293015e+02 1.609849835689032727e+00 4.870250518984605925e+00 -1.011173829343675612e+00 1.743900071672167540e+00 1.168936488238008442e+00 3.985573518066506615e+00
7.156598008011229695e+01 6.125468794437318110e+01 5.342800411609753830e-01 3.479445047651231748e-01 2.288438482278897368e+02 1.605383463551474765e+00 4.655012040205612323e+00 -9.923282503199627458e-01 1.912434092392887308e+00 1.419836268653803746e+00 3.983990643211785976e+00
7.062311030104449117e+01 6.264544499933469979e+01 7.338768280668526156e-01 2.455588456239788941e-01 2.522460733614157391e+02 1.541093406487722639e+00 5.233738997618091027e+00 -9.707078521540258853e-01 1.321246119934903929e+00 1.062435383000558620e+00 3.988637654713591107e+00
6.892489936724926736e+01 6.395737822511586756e+01 6.244599166704614124e-01 3.598622397492100555e-01 2.473104293170939911e+02 1.636929344567748412e+00 4.809055543323731641e+00 -1.018562871529808067e+00 1.749272983625506317e+00 1.285332936944754367e+00 3.985216695624276717e+00
7.077514094161821845e+01 6.231061288567885015e+01 7.899456153717924201e-01 2.002545141898030012e-01 2.285521009674310733e+02 1.583211312422486250e+00 5.055497210171767897e+00 -9.937132584632373256e-01 1.538327215334811982e+00 1.190205334847961760e+00 3.987042587137259897e+00
